Model Configuration,Accuracy,Precision,Recall,F1-score,ROC-AUC
With Duration (Data Leakage),0.887292817679558,0.5454545454545454,0.11538461538461539,0.19047619047619047,0.8958633438970517
Without Duration (Realistic Pre-Contact),0.887292817679558,0.5555555555555556,0.09615384615384616,0.16393442622950818,0.7184588975319313
