Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression (Balanced),0.7249,0.2364,0.625,0.343,0.747
Random Forest (Balanced),0.8873,0.5556,0.0962,0.1639,0.7185
